doi,title,abstract
10.1093/oxfordhb/9780199742844.013.15,Hume’s Political Philosophy,"Although David Hume never produced a single comprehensive work that encapsulated his views on politics, his various writings address a broad range of topics of relevance to political philosophy. He critiques the social contract theory of Hobbes and Locke, and he offers an alternative, evolutionary account of the origins of government. Hume sees all governments as the result of a struggle between authority and liberty, with the best of them achieving a balance between the two by implementing systems of “general laws.” Hume’s cautious approach to social change may fairly be called conservative. However, he is willing to endorse efforts at gradual reform when these efforts do not threaten the stability of the society. His legacy for modern political philosophy remains contested."
10.1093/oxfordhb/9780199742844.013.31,Hume and Smith on Moral Philosophy,"Scholars of eighteenth-century Scottish philosophy today tend to agree that Adam Smith, while deeply indebted to Hume, was also engaged in a comprehensive and creative transformation and extension of certain of Hume’s fundamental concepts. But what exactly did Smith take from Hume, and precisely how did he transform these concepts? This chapter traces Smith’s appropriation and transformation along five fronts: sympathy and humanity, justice and utility, judgment and impartiality, virtue and commercial society, and epistemology and religion. In so doing, it aims to provide a synthetic account of previous scholarship on the Hume–Smith relationship and to supplement these accounts with an examination of several further points of contact that have yet to receive significant attention."
10.1017/s1477175614000207,THE END OF PHILOSOPHY,"Philosophy's role is typically a reflective one. Yet this stance is in peril of being corrupted. Because it is being driven to specialized inquiries, the subdisciplines of which it is comprised may develop into separate fields, whose presence will then need to be justified in the same way the sciences are. This is impossible, however, given their diverging objectives. If this course of action persist, philosophy's end in the sense of its ending is imminent, on account of its no longer having an end in the sense of its objective."
10.2478/sectio-2013-0008,"Art, Society, and Transgression. An Essay in the Philosophy of Culture / Sztuka, społeczeństwo, transgresja. Esej z filozofii kultury","AbstractAn article is concerned with the theoretical conditions of transgression in pre-modern, modern and contemporary society. Author argues that in pre-modern worldview there were no conceptual conditions which made transgression possible. In modern and especially postmodern de-enchanted world a real transgression is a creative work which goes beyond the limitations of exclusive humanism. Among the discussed authors are: Ch. Taylor, D. Castaldo, M. Douglas"
10.1075/bpjam.17.04tri,Stoicism and Byzantine philosophy: Proairesis in Epictetus and Nicephorus Blemmydes,"Was the Byzantine thinker Nicephorus Blemmydes (1197–1272) directly influenced in his views about human “proairesis” by the Stoic Epictetus (50–138 AD) or did he take over his views from the Neoplatonic Simplicius? After exploring Blemmydes’ reception of Epictetus, one can say that Blemmydes drew elements in a brief treatise under the title “De virtute et ascesi” from the mainly Neoplatonic Simplicius, who commented on the handbook by the Stoic Epictetus (50–138 AD). Blemmydes, following Simplicius identifies “ἐφ’ ἡμῖν” with “aftexousion” and he designates “proairesis” as an activity, which emanates from “aftexousion”. Blemmydes shows the moral power of “proairesis” as a transforming factor of human existence and the mediatory factor to the dialectical relation between man and God. For the completion of the study, the following sources have been used: Blemmydes’ De virtute et ascesi, Epictetus’ Handbook, and Neoplatonic Simplicius’ commentaries on the Handbook. I specifically focus on the views of Aristotle, Epictetus, and Neoplatonic Simplicius about “proairesis” and compare the views of Blemmydes to Simplicius’ ideas. I conclude that Blemmydes drew ideas from Simplicius, with regard to human “proairesis” and in the context of the practising and cultivating virtues in everyday life."
10.2478/opth-2014-0008,The Pioneering Appearances of Philosophy of Religion in Europe: François Para du Phanjas on the Nature of Religion,"AbstractPhilosophy is, in some sense, the self-reflection of general culture, and perpetual self-reflection has been a primary occupation of philosophy in the West. Consequently, self-reflection is of great importance for dividing philosophical fields into separate divisions, and philosophy of religion is no exception. This paper deals with a thinker who constructed a “philosophy of religion” as a discipline, but was overlooked by historians. The main achievements of François Para du Phanjas (1724-1797), who tried to offer a theory of religion in the theological context, have not lost their significance for today, especially his insights into epistemology of religious beliefs, his conception of “certainty” and classification of “religious evidences”, and the shortcomings of his analysis of “natural religion”."
10.1093/oxfordhb/9780199314621.013.5,Comparison or Confluence In Philosophy?,"This chapter examines the project of fusion or confluence philosophy: philosophizing that draws on resources from both Indian and Western philosophical traditions in seeking solutions to philosophical problems. A distinction is drawn between the confluence project and the project of comparative philosophy. Various challenges to the project are addressed, among them the criticism that the two traditions are incommensurable, and the charge that such a project is politically problematic. There is also discussion of some ways in which projects of this sort can go astray. Representative samples of the genre are discussed, and areas that might prove promising for future research are identified."
10.14507/epaa.v19n2.2011,"Ways to live history. Or philosophy, culture, and architecture in the origins of the museum Altes in Berlín","From the beginnings of what we now know as our modernity, man has been surprised with his own finitude. The 18th and 19th  century bourgeois needed to formulate complex ways of preserving the past and of linking with it. In the philosophes’ circle, time concept starts to double itself in the idea of origin, that, for them, had become opaque. We just need to think of the broad-range process of structuring museums and restructuring natural history collections in cities such as Paris and Berlin, around the turn to the 19th century, so that we can be convinced that the surprise with that origin that one cannot recognize anymore, that becomes object of popular and scientific interest, leads each and all of the decisions in this process. Museum is just one of the institutions in which man, through a complex series of idealizations of space, show himself the spectacle of a lost time and, thus, of a culture whose educational thrive can only be understood by associating to these institutions. Our task is to investigate – and the case study of the grounding of the Altes Museum in Berlin, between 1822 and 1830, will perform this concretely – which educational policy made the emergence of this new ideological model possible, and , on the opposite way, which conceptual elaborations confirmed or legitimated the new pragmatic topography of time in modernity within the institution that had as aim, precisely, articulate and administrate past and memory."
10.1093/oxfordhb/9780199742844.013.35,Reflexivity and Sentiment in Hume’s Philosophy,"This contribution is concerned with what Hume means by reflection and sentiment. Hume’s Treatise is devoted to an account of the extent to which the mind is able to bear its own reflexion or turn mental states on themselves. This theme is likely the “new scene of thought” that inspired Hume’s major concerns in the Treatise. Although Hume found that the understanding fails to understand itself, the passions do better in satisfying curiosity about curiosity, and, most importantly, moral sentiment is able to approve of itself. The author contends that the whole task of the moral sentiment is to get us to fulfill our part to mankind and society, and that, according to Hume, the sentiments are the noble source of morality itself."
10.1515/zac-2012-0012,Conversion to Christian Philosophy—the case of Origen’s School in Caesarea,"In this article I will discuss whether the teaching and preaching of Origen should be understood as aiming at a conversion to philosophy. The idea that Origen’s teaching can be understood this way is inspired by Gregor Thaumaturgus-or Gregory the Wonderworker as he is called in English.1 In his address2 to Origen and his fellow pupils when he left Origen’s school in Caesarea Gregory describes what happened to him in Origen’s school as a kind of conversion. Reading Gregory’s address one can get the impression that his conversion was a conversion to philosophy more than a conversion to Christianity or to a certain kind of Christian theology. In a shorter form, Eusebius mentions something similar. At this background it is reasonable to ask what Gregory could have meant by his description, and whether such a description of Origen’s work can be confirmed and substantiated by Origen’s own writings. I will focus on Origen’s activities in Caesarea, but these will be seen in the context of what we know about his own education and his teaching in Alexandria in the period before he moved to Caesarea."
10.1017/s0003055415000076,Philosophy and Poetry: A New Look At An Old Quarrel,"The subordination of poetry to rational guidance has been denounced as a symptom of a specifically Western sickness, with its origin in Plato'sRepublic. But Plato's disposition to the poets is more complex than is often supposed. Although Book Three's education in civic virtue includes a call for an austere, civic poetry, in Book Ten Socrates finds the wisdom of this provision to need a serious reconsideration, one made necessary because philosophy has emerged as the true answer to the search for a genuinely fulfilling, happy life. Book Ten's reconsideration quietly shows that great poets like Homer are wiser than the earlier examination had suggested, especially about death, and are even indistinguishable from Socratic philosophers in their understanding of and disposition toward death and so in the related matter of the best human life."
10.1093/oxfordhb/9780199696383.013.10,"Freedom, Reason, and Art in Idealist and Romantic Philosophy","Concentrating on ‘The Oldest System-Programme of German Idealism’, this chapter argues that the significance of aesthetics for modern philosophy is adumbrated in Idealist and Romantic philosophical texts in ways which have often not been adequately appreciated. It is notoriously difficult to characterize Romanticism conclusively, but it undoubtedly has to do with tensions in the way the modern world is understood in the differing spheres of modern science, modern law and the state, and modern art. The difference between broadly construed German Idealist and early German Romantic philosophy is that the former seeks a philosophical account of how unity can be articulated through division, whereas the latter (exemplified by Novalis and Friedrich Schlegel) sees such unity as only accessible at all in our sense of failure when we strive to achieve definitive unity."
10.1093/oxfordhb/9780199314621.013.31,Mādhava’s Garland of Jaimini’s Reasons as Exemplary Mīmāṃsā Philosophy,"This chapter examines the Jaiminīyanyāyamālā (Garland of Jaimini’s Reasons) of Mādhava (1297–1388) as an example of Mīmāṃsā philosophy. It asks what Mīmāṃsā thinkers find philosophically problematic or interesting in the Sūtra before discussing what in Mīmāṃsā is most properly and usefully characterized as “Mīmāṃsā philosophy.” It considers the traditional themes thought to characterize each Adhyāya, or book, of the Sūtra to show that Mīmāṃsā reading and reasoning is grounded in case-studies and that it is like another form of textual reasoning, that of rabbinic tradition. In particular, it analyzes Jacob Neusner’s views on whether Mishnah, or any similar system, is philosophical. The chapter proceeds by turning to the Garland and Mādhava’s purpose in this work. It compares the Garland to Wittgenstein’s Philosophical Investigations and argues that Mādhava is a philosopher of a certain kind, and his Garland a philosophical text committed to rational inquiry."
10.1093/oxfordhb/9780199935314.013.33,The Philosophy of Quantum Field Theory,"This is an opinionated survey of some interpretive puzzles in quantum field theory. The problem of inequivalent representations is sketched, including its connections with competing accounts of physical equivalence. The controversy between variant formulations of the theory, algebraic versus Lagrangian, is given a conciliatory resolution. Arguments against particles are addressed, demarcating clearly between different forms of particle interpretation. Field interpretations are then considered, including wavefunctional, spacetime state realist and Heisenberg operator realist interpretations. Ruetsche’s coalesced structure interpretation is presented and juxtaposed with an alternative, more traditional view of the theory’s laws and state space. Finally, the CPT theorem is discussed, together with its implications about the nature of spacetime."
10.1093/oxfordhb/9780199935390.013.70,Greek Philosophy in the Twenty-first Century,"This article addresses contemporary efforts to understand how the earliest practitioners of philosophy conceived of the philosophic life. It argues that, for Plato, the concept of bios was a central, animating, and structuring object of philosophic inquiry. Concentration on the imagery Plato employed to draw bios into the purview of philosophic contemplation and choice points to interpretative avenues that further the aim of treating the dialogues as complex, integrated wholes, and offers a new approach to the question of the status of image-making in them. The article concludes with thoughts on how an exploration of bios might extend beyond Plato to Aristotle, via an examination of his treatment of the range of human and animal bioi, suggesting that such an examination clarifies the relationship between his analysis of the polis-dwelling animal and his broader investigation of living beings as such."
10.1017/s0252921100087200,Philosophy and Directions in Planetarium Programming,"I am going to start with the premise that planetariums serve several roles in their communities:1. They are popularizers of astronomy and space science2. They support and enhance the teaching of astronomy and related subjects within the formal education system3. They provide a community resource for astronomical informationNot all planetariums incorporate all of these roles or do so to the same degree.Planetariums, as facilities, come in a variety of forms. At one extreme might be a space theater with its wide-format films. A major public facility would have a strong emphasis on public shows and school programming. A college or school facility would emphasize programming for the education system at some or all levels with some or no public programs. At the other extreme would be the small portable planetariums with 100 per cent use for school activities."
10.1017/s0031819100033210,New Science and Old Philosophy,"Cast a backward glance over the last hundred years and it will be seen at once where the greatest advance has been. We cannot claim, I fear, that it has been in philosophy. Nor yet has it been in the sphere of religion; nor in politics; nor in the arts. Plainly enough, it is in science that this age has excelled; and in industrial production through the help of science."
10.1017/s0031819100033258,The Philosophy of Maimonides and its Systematic Place in the History of Philosophy,"Moses Maimondes, born March 30, 1135, the eight hundredth anniversary of whose birth we now commemorate, is one of those universal spirits who mastered the whole realm of knowledge of their time. His fruitful and extensive literary activity covered many fields: astronomy, medicine, Talmud, and philosophy. His works on medicine were in former tunes highly esteemed. In the field of philosophy he strove for the synthesis of Aristotelianism and revealed religion, an endeavour which was of paramount importance for the later development of philosophic thought. His influence as a philosopher is not confined to the sphere of Jewish thought, but has left a lasting impression on the history of philosophy in general."
10.1017/s0031819100033283,Philosophy in France,"History and Legend are, Professor Robin believes, traditionally misconceived in being conceived as in conflict. To write history is either to destroy utterly the claim of some legend to be veridical, or else to rediscover, behind what is imaginary or fabulous in it, indications of what the facts really were. Such is the accredited view. But, asks M. Robin, is not legend, on the contrary, a positive element in history? And he answers in effect that nowhere is legend more regular, indeed more necessary, than in its contribution to the history of philosophy, ancient and modern. This history has a wholly original character. It does not resemble the history of the sciences; for this relates either the checkmates in research—instructive to be sure, but dead for future science—or else its victories—equally instructive, though only their results survive. Nor does it resemble literary history; for even if this be accompanied by evaluatory criticism, seldom is interpretation of doctrine admitted. Interpreting a philosophy is seizing not only its literal sense, but above all its import and efficacy. It is a continuously creative and reflective activity which unceasingly quickens the materials on which it reflects. But since what is called objectivity cannot be attained by the historian of philosophy except by shutting his eyes to the limits of his powers, he must candidly confess—and without admitting that the confession impairs the value of his effort—that objectivity cannot be his chief end. No great philosophy can really be considered dead, its sincere and sympathetic evocationisalways possible. The history of philosophy is philosophy; it is philosophy philosophizing on its past efforts, and contemplating itself in the perenniality of its changing existence."
10.1017/s0031819100033295,Philosophy in Germany,"Karl Popper's aim inLogik der Forschungis to consider the method of investigation used by the empirical sciences. Many people would say that their procedure is marked by the use of induction, and accordingly that the logic of scientific investigation is the logical analysis of induction. But Popper disagrees. Scientific procedure consists of two steps, an hypothesis is formed, and then it is tested. Logic is only concerned with questions of validity, and thus is only concerned with the second of these steps. But every method of testing validity is deductive, and thus the logic of scientific investigation is the study of deduction as used by the empirical sciences."
10.1515/humaff-2016-0028,Rorty’s philosophy of religion,"AbstractRichard Rorty interpreted religion as a historically constituted part of culture. As a philosopher, he sought primarily to understand religion’s socio-cultural nature and role. His approach was socio-critical, intellectually sympathetic and humanistic. The paper provides an account of Rorty’s key phases in his philosophy of religion. During phase one (the 1990s), he was primarily interested in whether, in a democratic society, religion should simply be a private matter or also one of public concern (and if so, then in what way and to what extent). During phase two (post-2000), his thinking on cultural politics developed more broadly, and he wrote about ‘romantic polytheism’ and the future of religion, etc. In his writing from phase one, he portrays himself as a ‘secular humanist’ as well as an atheist and, in his writing from phase two, as a ‘non-theist’ and ‘anti-clericalist’."
10.1017/s0034193200006166,"The Rambler, its Reviewers and a ‘Philosophy of Knowledge’","Searching for a phrase to describe the Spirit of the Age, the mid-Victorian writer might choose the ‘Age of Education’, or perhaps the ‘Age of Transition’; but Wilkie Collins preferred ‘The Age of the Periodical’. The high–status periodical, and education itself, could be seen as motive forces, determining, shaping, announcing and ushering in the ‘Age of Transition’. For the Liberal Catholics ofThe Rambler, the ‘Age of Transition’ could be an ‘Age of Opportunity’, witnessing the start of the reconversion of England; or it could be an ‘Age of Danger’, witnessing the slide of England into overt infidelity. Of the two motive forces, even the most complacent and self-satisfied review writer would admit the greater to be Education."
10.1017/s0034193200001503,"The Dublin Review (1836–75), its Reviewers and a ‘Philosophy of Knowledge’","In a previous number ofRecusant History, the present writer discussed the philosophy of knowledge of the Liberal Catholic periodicalThe Rambler. The philosophy of knowledge concept was used to examine ideas on the nature of mind and reason and on the value, use and limitations of reason, on the grounds that such ideas were the foundation for the reviewers’ speculations on education—one of the most vital of nineteenth century debates. Moreover, the philosophy of knowledge proved to be a useful vehicle for relating the world-view of the periodical writers to their discussions of education at all levels."
10.1017/s0080454100006166,XIII.—Some Disputed Questions in the Philosophy of the Physical Sciences,"More than two thousand years ago the Greek philosophers raised certain questions, which are still undecided, about the origin and character of knowledge regarding the external world. After a period of comparative quiet, the discussion has become very active recently, under the stimulus of the new discoveries in mathematical physics; and, in particular, a lively debate is in progress at the present moment between Sir Arthur Eddington and Dr Harold Jeffreys of Cambridge, Professor Milne of Oxford, Sir James Jeans, and Professor Dingle of the Imperial College, the subject being the respective shares of reason and observation in the discovery of the laws of nature. I propose this afternoon to offer some remarks on the history and present state of this controversy."
10.1017/s0080454100006828,XLII.—The Nature of Scientific Philosophy,"The title I have chosen for this lecture contains an implication which perhaps will not be generally accepted; there was a time when I would not have accepted it myself. The implication is that a particular kind of philosophy is possible which may be called scientific in contrast with other kinds which cannot be so called. I would go further and identify this scientific philosophy with what is generally called science, and this implies that the distinction that is often assumed to exist between science and philosophy is a false one. For this view I believe there is historical evidence. Science, as a separate, self-contained study, dates from the seventeenth century. Before that time, such consideration as was given to the subject-matter of present-day science was given it by philosophers and regarded as a part of their philosophising, and when in the seventeenth century a new kind of procedure was introduced, it was looked upon by its pioneers not as an attack on a new problem but as a new attack on an old problem. The science of that time was the “new philosophy”, faintly adumbrated by some mediæval philosophers, struggling for expression in Francis Bacon, and coming to full recognition in Galileo. Only later, when it had made such progress in certain limited fields of study that a new body of investigators was called into being who confined themselves to those fields, was the new philosophy transformed into a non-philosophy and called generally by the name “science”."
10.1017/s0841820900000539,"The Philosophy of Law: An Encyclopedia edited by Christopher Berry Gray, New York and London: Garland Publishing, 1999. Two volumes, i-xxxviii + 950 pages. ISBN 0-8153-1344-6.","This encyclopedia provides a comprehensive survey of philosophy of law. The articles cover every period of Western philosophy and every part of the globe. Every school and methodology of legal philosophy is detailed. There are ninety articles on individual thinkers in both the Anglo-American and European traditions. Every facet of law as a social institution, of criminal law, and of private law, is covered. Relevant political, moral, and epistemological issues are discussed. The general standard, though uneven, is high. To guide readers a subject list by topic and four indexes are included. The editor deserves congratulations for a remarkable achievement."
10.1017/s084182090000401x,Legal Positivism and Scottish Common Sense Philosophy,"This paper identifies a volitional theory of meaning common to speech act theory and legal positivism, represented by Hart and Kelsen. This model is compared and contrasted with the model of social operations developed by Reid, a Common Sense Enlightenment philosopher. Whereas the former subscribes to the view that meaning is generated by acts of will, the latter finds meaning to consist of the dual elements of sign and ‘directedness’.
            The ability of positivist theories to provide a structural account of the difference between legal rules and other rules is inextricably linked to this commitment to the volitional theory of meaning. The commitment to the volitional view however leads to problems in requiring that some kind of authority be presupposed in for plain rules to attain legal force. Such authority can only be established with recourse to further rules (thus falling into a malign infinite regress) or must be accepted as a matter of faith. Reid's criterion of direction however vitiates the need for an authority, instead accounting for social communication in general, and rules in particular, in terms of sociological factors. Although no comprehensive critique of the volitional theory is proposed, Reid's model is preferable on the grounds of explanatory richness.
            The core claims of the paper are that: (a) legal positivism necessarily subscribes to the volitional theory of meaning; (b) rejection of the volitional theory necessarily entails rejection of the positivist view that legal and non-legal rules can be differentiated on structural grounds (c) another counter-model exists which avoids some of the pitfalls of the volitional theory; (d) if the volitional theory is rejected then the existence of rules can only be accounted for in a 'strong' sociological sense and legal theory must accordingly accept the dominant role of sociology in conceptualising the nature of rules."
10.1017/s0841820900004902,"Offences and Defences: Selected Essays in the Philosophy of Criminal Law by John Gardner 
            Oxford: Oxford University Press, 2007. Pages xiv + 288, Paper ISBN 978-0-19-923936-8. Page references in parentheses are to this work. For full details of the essays included see John Gardner's website: users.ox.ac.uk/~lawf0081/.","This volume contains eleven previously published essays on criminal law together with a new “Reply to Critics” by the Professor of Jurisprudence at Oxford, John Gardner. The principal themes of the essays, covering offences, defences, and punishment, are summarized in this review, which also highlights areas of controversy and various lines of criticism."
10.1017/s0841820900005233,"A Treatise of Legal Philosophy and General Jurisprudence, vol 3, by Enrico Pattaro Editor-in-Chief, (Dordrecht: Springer, 2007). Page numbers in text are to this book.",Shiner has produced a valuable contribution to the field of analytical jurisprudence. He remains faithful to the investigative and exploratory task that he set for himself. Legal Institutions and the Sources of Law can be usefully consulted by anyone interested in the idea of a “source of law”. And it can certainly be used as an authoritative reference by those legal and political theorists who wish to pursue a fuller normative approach to law or politics.
10.18542/complexitas.v1i1.3418,Towards a Philosophy of Human Technology: Outlook on cognitive enhancements in Avatar/ Virtual Reality schizophrenia therapy,"This article hinges on a complex and interdisciplinary field of study named “Philosophy of Human Technology” in which a first non-exhaustive map of ethical, legal and social, technological issues is presented: Technologies constitute, magnify, amplify human experiences, but can also enslave or put human experience and life at risk for example what concerns the right to a “private Life”. The second part of this paper proposes to think three possible interfaces of the topic of Human Cognitive Enhancement. Firstly the Body-electronic interface such as in the organ-on a chip simulation of an externalized human organ function, secondly the optogenetic and general genetic “editing” interface in which new technologies such as CRISPR/Cas9 open up questions for the future of human beings and our self-determination. Third -and more explicitly- the virtual-immersive interface, exemplified by cognitive enhancement by Avatar schizophrenia therapy and uncanny valley effects of digital body doubles will be introduced. The classic rubber-hand illusion had brought new insights into the plasticity of the body- image and the embodiment of the self, by underlining the strong influence of exteroception for the transformation of the bodily self. We will follow these thoughts on Avatar enhancements in schizophrenia therapy and scrutinize as well research ethical issues. Finally a short outlook on the question of two different types of technological detachment in tension in a Philosophy of Human Technology in which Cognitive Enhancement technologies are subjected to two types of technological detachments a) material/somatic substitution and b) detachment as a topos of independence and autonomy is hinted on."
10.1515/yewph-2016-0028,26 Practical Wisdom in Confucian Philosophy,"AbstractConfucianism, since the time of Confucius, emphasizes the significance of “practical wisdom” as the realization of philosophy. This approach accentuates the practical aspects of wisdom rather than the analytical rationale of the intellect. Emphasis on practical wisdom persistently reinforces a moral foundation that is not differentiated from personal virtue. At the same time, practical wisdom in Confucianism stresses self-cultivation, or the complete transformation of the self, derived from the internal state of the heart/mind (xin)."
10.1515/yewph-2016-0004,2 The Current Situation of Chinese Philosophy: Problems and Tasks,"AbstractThe cause of Chinese philosophy has made significant progress since it began to reform three decades ago. However, Chinese philosophy also faces many problems. Shaken by current market economic forces, it now confronts a huge challenge in taking on its mission of raising questions, both theoretical and practical, and responding to them using the methods of philosophy. This article analyzes developments and problems in the three sub-disciplines of philosophy: Marxist philosophy, the history of Chinese philosophy and foreign philosophies. Using this framework, it will purposefully address the great historical responsibility facing Chinese philosophers."
